Scenario	Replication	[OperatorAssistedMachine1].Utilisation		[SelfCheckOutMachine1].Utilisation	
1	1	0.36037029010416666		0.5589560271527778	
1	2	0.3675745025694444		0.5623402363888889	
1	3	0.3603984072222222		0.5590925673263889	
1	4	0.363668945		0.5574352463194444	
1	5	0.3625951705208333		0.5556176926041666	
1	6	0.36987687965277777		0.5552703002777778	
1	7	0.36711683694444447		0.5559533708333333	
1	8	0.3671017005902778		0.5581416232986111	
1	9	0.36264950048611105		0.5530314586805555	
1	10	0.37742415479166663		0.5593092804861111	
1		0.36587763878819446	0.0037065516998756095	0.5575147803368056	0.0018871992530201129
