Scenario	Replication	[OperatorAssistedMachine1].Utilisation		[OperatorAssistedMachine2].Utilisation		[SelfCheckOutMachine1].Utilisation		[SelfCheckOutMachine2].Utilisation	
1	1	0.2706689087847222		0.06411724520833333		0.3891011946180556		0.19865896524305554	
1	2	0.2769261592361111		0.06532166253472221		0.3899361937847222		0.2018535915625	
1	3	0.2698406340625		0.06467221635416666		0.38872818170138884		0.19892499194444443	
1	4	0.27269784197916663		0.06455225340277777		0.38887045451388885		0.19723525416666668	
1	5	0.27044706444444444		0.06539546045138889		0.38733462138888886		0.1966788932986111	
1	6	0.2759121787847222		0.06594423322916666		0.3864299310416667		0.19750589572916666	
1	7	0.2741107748263889		0.06608555909722222		0.3870682803819444		0.19813700197916667	
1	8	0.2750538607986111		0.0652598159375		0.3880225686458333		0.19899800597222222	
1	9	0.27130254694444444		0.0648520971875		0.3856725188194445		0.19568703166666665	
1	10	0.28009522607638887		0.06906589260416666		0.38865945375		0.1999700351388889	
1		0.27370551959375	0.0023797993092585052	0.06552664360069445	9.90710473934814E-4	0.3879823398645833	9.500041161244802E-4	0.19836496667013886	0.0012532730043146683
